{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 10, 'y': 10}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 61822790
Data Directory: /Users/albertzhang/GitHub/avida/cbuild/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Merit: 97.00000   Thrd: 1       Para: 0  
UD: 100     Gen: 6.973684   Fit: 0.2466680  Orgs: 76      Merit: 95.15789   Thrd: 76      Para: 0  
UD: 200     Gen: 14.89000   Fit: 0.2450554  Orgs: 100     Merit: 94.87000   Thrd: 100     Para: 0  
UD: 300     Gen: 22.69000   Fit: 0.2413470  Orgs: 100     Merit: 93.49000   Thrd: 100     Para: 0  
UD: 400     Gen: 30.66000   Fit: 0.2450277  Orgs: 100     Merit: 94.19000   Thrd: 100     Para: 0  
UD: 500     Gen: 38.73000   Fit: 0.2429002  Orgs: 100     Merit: 91.93000   Thrd: 100     Para: 0  
UD: 600     Gen: 47.02000   Fit: 0.2494785  Orgs: 100     Merit: 95.01000   Thrd: 100     Para: 0  
UD: 700     Gen: 55.04040   Fit: 0.2478515  Orgs: 99      Merit: 93.66667   Thrd: 99      Para: 0  
UD: 800     Gen: 63.54000   Fit: 0.2485377  Orgs: 100     Merit: 94.36000   Thrd: 100     Para: 0  
UD: 900     Gen: 71.76000   Fit: 0.2515552  Orgs: 100     Merit: 97.48000   Thrd: 100     Para: 0  
UD: 1000    Gen: 79.19000   Fit: 0.2521145  Orgs: 100     Merit: 101.6400   Thrd: 100     Para: 0  
UD: 1100    Gen: 86.72000   Fit: 0.2483793  Orgs: 100     Merit: 102.1000   Thrd: 100     Para: 0  
UD: 1200    Gen: 93.51000   Fit: 0.2529378  Orgs: 100     Merit: 106.2200   Thrd: 100     Para: 0  
UD: 1300    Gen: 100.5600   Fit: 0.2529982  Orgs: 100     Merit: 103.3400   Thrd: 100     Para: 0  
UD: 1400    Gen: 108.1500   Fit: 0.2511836  Orgs: 100     Merit: 99.39000   Thrd: 100     Para: 0  
UD: 1500    Gen: 115.4400   Fit: 0.2492954  Orgs: 100     Merit: 98.50000   Thrd: 100     Para: 0  
UD: 1600    Gen: 124.4500   Fit: 0.2444226  Orgs: 100     Merit: 93.99000   Thrd: 100     Para: 0  
UD: 1700    Gen: 134.0100   Fit: 0.2544723  Orgs: 100     Merit: 95.48000   Thrd: 100     Para: 0  
