{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 60884014

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       
UD: 100     Gen: 6.781250   Fit: 0.2434172  Orgs: 32      
UD: 200     Gen: 14.91205   Fit: 0.2472475  Orgs: 307     
UD: 300     Gen: 22.76163   Fit: 0.2459941  Orgs: 881     
UD: 400     Gen: 30.41066   Fit: 0.2465089  Orgs: 1707    
UD: 500     Gen: 38.14416   Fit: 0.2465637  Orgs: 2851    
UD: 600     Gen: 45.92618   Fit: 0.2486083  Orgs: 4335    
UD: 700     Gen: 53.70036   Fit: 0.2491572  Orgs: 6114    
UD: 800     Gen: 61.54315   Fit: 0.2503784  Orgs: 8215    
UD: 900     Gen: 69.41313   Fit: 0.2519022  Orgs: 10556   
UD: 1000    Gen: 77.24199   Fit: 0.2521896  Orgs: 12790   
UD: 1100    Gen: 85.17018   Fit: 0.2556522  Orgs: 13850   
UD: 1200    Gen: 93.29531   Fit: 0.2607525  Orgs: 14334   
UD: 1300    Gen: 102.3158   Fit: 0.2760120  Orgs: 14388   
UD: 1400    Gen: 113.4327   Fit: 0.3147910  Orgs: 14389   
UD: 1500    Gen: 127.9676   Fit: 0.4230102  Orgs: 14392   
UD: 1600    Gen: 157.1717   Fit: 1.676459   Orgs: 14381   
UD: 1700    Gen: 191.8531   Fit: 2.900956   Orgs: 14373   
UD: 1800    Gen: 229.1488   Fit: 7.896100   Orgs: 14375   
UD: 1900    Gen: 257.0576   Fit: 17.79645   Orgs: 14369   
UD: 2000    Gen: 290.2694   Fit: 28.27186   Orgs: 14375   
UD: 2100    Gen: 326.7005   Fit: 40.41688   Orgs: 14379   
UD: 2200    Gen: 368.2812   Fit: 55.03768   Orgs: 14381   
UD: 2300    Gen: 408.4148   Fit: 65.25881   Orgs: 14374   
UD: 2400    Gen: 456.4613   Fit: 80.85848   Orgs: 14376   
UD: 2500    Gen: 498.6240   Fit: 90.86586   Orgs: 14361   
UD: 2600    Gen: 542.5511   Fit: 100.1271   Orgs: 14371   
UD: 2700    Gen: 588.0127   Fit: 112.4666   Orgs: 14364   
UD: 2800    Gen: 634.8457   Fit: 126.8128   Orgs: 14378   
UD: 2900    Gen: 675.5376   Fit: 136.0890   Orgs: 14370   
UD: 3000    Gen: 712.1446   Fit: 143.6111   Orgs: 14369   
UD: 3100    Gen: 746.9724   Fit: 154.6860   Orgs: 14379   
UD: 3200    Gen: 775.7611   Fit: 160.4605   Orgs: 14375   
UD: 3300    Gen: 804.6195   Fit: 168.7563   Orgs: 14372   
UD: 3400    Gen: 829.6220   Fit: 177.2288   Orgs: 14370   
UD: 3500    Gen: 850.1293   Fit: 178.0677   Orgs: 14380   
UD: 3600    Gen: 869.9609   Fit: 182.1148   Orgs: 14381   
UD: 3700    Gen: 888.5322   Fit: 184.6883   Orgs: 14375   
UD: 3800    Gen: 906.2195   Fit: 188.2647   Orgs: 14371   
UD: 3900    Gen: 923.5832   Fit: 191.9049   Orgs: 14380   
UD: 4000    Gen: 937.6083   Fit: 195.5354   Orgs: 14375   
UD: 4100    Gen: 948.7731   Fit: 193.8951   Orgs: 14375   
UD: 4200    Gen: 959.2016   Fit: 195.6849   Orgs: 14379   
UD: 4300    Gen: 969.5711   Fit: 193.9356   Orgs: 14373   
UD: 4400    Gen: 979.5860   Fit: 195.5592   Orgs: 14371   
UD: 4500    Gen: 988.9834   Fit: 194.3001   Orgs: 14379   
UD: 4600    Gen: 998.3104   Fit: 195.0909   Orgs: 14377   
UD: 4700    Gen: 1007.305   Fit: 197.6761   Orgs: 14372   
UD: 4800    Gen: 1017.375   Fit: 208.8475   Orgs: 14368   
UD: 4900    Gen: 1030.216   Fit: 230.8032   Orgs: 14365   
UD: 5000    Gen: 1045.781   Fit: 269.2983   Orgs: 14374   
