{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 66459030

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       
UD: 100     Gen: 6.885246   Fit: 0.2453853  Orgs: 61      
UD: 200     Gen: 14.68848   Fit: 0.2383437  Orgs: 382     
UD: 300     Gen: 22.58590   Fit: 0.2433632  Orgs: 1007    
UD: 400     Gen: 30.36533   Fit: 0.2448567  Orgs: 1927    
UD: 500     Gen: 38.35479   Fit: 0.2463747  Orgs: 3154    
UD: 600     Gen: 46.30147   Fit: 0.2475790  Orgs: 4634    
UD: 700     Gen: 54.26381   Fit: 0.2499703  Orgs: 6482    
UD: 800     Gen: 62.34136   Fit: 0.2573672  Orgs: 8683    
UD: 900     Gen: 70.46298   Fit: 0.2670343  Orgs: 11117   
UD: 1000    Gen: 79.44097   Fit: 0.3354505  Orgs: 12713   
UD: 1100    Gen: 92.03085   Fit: 0.6643532  Orgs: 13321   
UD: 1200    Gen: 115.9249   Fit: 14.18943   Orgs: 13425   
UD: 1300    Gen: 150.6068   Fit: 30.63095   Orgs: 14044   
UD: 1400    Gen: 180.9927   Fit: 42.20650   Orgs: 14360   
UD: 1500    Gen: 210.4489   Fit: 55.27148   Orgs: 14366   
UD: 1600    Gen: 239.3218   Fit: 70.70584   Orgs: 14371   
UD: 1700    Gen: 268.7215   Fit: 113.3263   Orgs: 14362   
UD: 1800    Gen: 302.3421   Fit: 228.5381   Orgs: 14366   
UD: 1900    Gen: 346.1488   Fit: 622.7325   Orgs: 14373   
UD: 2000    Gen: 393.0220   Fit: 1379.332   Orgs: 14361   
UD: 2100    Gen: 441.9340   Fit: 2342.572   Orgs: 14367   
UD: 2200    Gen: 496.0251   Fit: 3332.980   Orgs: 14367   
UD: 2300    Gen: 555.2667   Fit: 4572.524   Orgs: 14368   
UD: 2400    Gen: 614.5295   Fit: 12934.34   Orgs: 14372   
UD: 2500    Gen: 709.5018   Fit: 42975.43   Orgs: 14348   
UD: 2600    Gen: 795.0753   Fit: 84013.69   Orgs: 14366   
UD: 2700    Gen: 882.5905   Fit: 125753.5   Orgs: 14366   
UD: 2800    Gen: 966.3194   Fit: 151882.9   Orgs: 14363   
UD: 2900    Gen: 1037.839   Fit: 180339.8   Orgs: 14352   
UD: 3000    Gen: 1106.851   Fit: 197938.5   Orgs: 14357   
UD: 3100    Gen: 1174.715   Fit: 222622.2   Orgs: 14357   
UD: 3200    Gen: 1238.728   Fit: 242318.7   Orgs: 14352   
UD: 3300    Gen: 1299.778   Fit: 254208.4   Orgs: 14359   
