{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 5, 'y': 5}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 65309623

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       
UD: 100     Gen: 6.945205   Fit: 0.2455209  Orgs: 73      
UD: 200     Gen: 15.05000   Fit: 0.2455306  Orgs: 100     
UD: 300     Gen: 23.02000   Fit: 0.2457281  Orgs: 100     
UD: 400     Gen: 31.23000   Fit: 0.2475727  Orgs: 100     
UD: 500     Gen: 39.53000   Fit: 0.2479436  Orgs: 100     
UD: 600     Gen: 47.55000   Fit: 0.2518671  Orgs: 100     
UD: 700     Gen: 55.74000   Fit: 0.2491694  Orgs: 100     
UD: 800     Gen: 63.85000   Fit: 0.2479789  Orgs: 100     
UD: 900     Gen: 72.49000   Fit: 0.2526567  Orgs: 100     
UD: 1000    Gen: 80.66000   Fit: 0.2446322  Orgs: 100     
UD: 1100    Gen: 88.57000   Fit: 0.2521186  Orgs: 100     
UD: 1200    Gen: 96.94000   Fit: 0.2479099  Orgs: 100     
UD: 1300    Gen: 104.9400   Fit: 0.2495316  Orgs: 100     
UD: 1400    Gen: 113.1700   Fit: 0.2498127  Orgs: 100     
UD: 1500    Gen: 121.5152   Fit: 0.2461615  Orgs: 99      
UD: 1600    Gen: 130.3100   Fit: 0.2491580  Orgs: 100     
UD: 1700    Gen: 139.1400   Fit: 0.2486141  Orgs: 100     
UD: 1800    Gen: 146.5152   Fit: 0.2463688  Orgs: 99      
UD: 1900    Gen: 154.9900   Fit: 0.2522792  Orgs: 100     
UD: 2000    Gen: 164.2900   Fit: 0.2570233  Orgs: 100     
UD: 2100    Gen: 173.1900   Fit: 0.2572445  Orgs: 100     
UD: 2200    Gen: 181.0800   Fit: 0.2547629  Orgs: 100     
UD: 2300    Gen: 189.6566   Fit: 0.2529477  Orgs: 99      
UD: 2400    Gen: 198.2000   Fit: 0.2549991  Orgs: 100     
UD: 2500    Gen: 206.9800   Fit: 0.2519707  Orgs: 100     
UD: 2600    Gen: 215.7700   Fit: 0.2567189  Orgs: 100     
UD: 2700    Gen: 224.4800   Fit: 0.2552868  Orgs: 100     
