{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 5, 'y': 5}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 65514454
Data Directory: /Users/albertzhang/GitHub/avida/cbuild/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Merit: 97.00000   Thrd: 1       Para: 0  
UD: 100     Gen: 6.840000   Fit: 0.2424849  Orgs: 25      Merit: 96.08000   Thrd: 25      Para: 0  
UD: 200     Gen: 14.88000   Fit: 0.2319426  Orgs: 25      Merit: 93.04000   Thrd: 25      Para: 0  
UD: 300     Gen: 22.44000   Fit: 0.2416398  Orgs: 25      Merit: 96.84000   Thrd: 25      Para: 0  
UD: 400     Gen: 31.12000   Fit: 0.2529862  Orgs: 25      Merit: 96.08000   Thrd: 25      Para: 0  
UD: 500     Gen: 38.96000   Fit: 0.2519497  Orgs: 25      Merit: 94.28000   Thrd: 25      Para: 0  
UD: 600     Gen: 47.56000   Fit: 0.2523099  Orgs: 25      Merit: 93.72000   Thrd: 25      Para: 0  
UD: 700     Gen: 55.88000   Fit: 0.2467314  Orgs: 25      Merit: 90.40000   Thrd: 25      Para: 0  
UD: 800     Gen: 63.80000   Fit: 0.2510559  Orgs: 25      Merit: 93.52000   Thrd: 25      Para: 0  
UD: 900     Gen: 72.56000   Fit: 0.2501589  Orgs: 25      Merit: 92.48000   Thrd: 25      Para: 0  
UD: 1000    Gen: 80.84000   Fit: 0.2527708  Orgs: 25      Merit: 92.60000   Thrd: 25      Para: 0  
UD: 1100    Gen: 89.08000   Fit: 0.2468917  Orgs: 25      Merit: 90.68000   Thrd: 25      Para: 0  
UD: 1200    Gen: 96.64000   Fit: 0.2463793  Orgs: 25      Merit: 90.08000   Thrd: 25      Para: 0  
UD: 1300    Gen: 104.2400   Fit: 0.2521256  Orgs: 25      Merit: 93.28000   Thrd: 25      Para: 0  
UD: 1400    Gen: 113.0800   Fit: 0.2508036  Orgs: 25      Merit: 94.84000   Thrd: 25      Para: 0  
UD: 1500    Gen: 121.4000   Fit: 0.2463811  Orgs: 25      Merit: 91.84000   Thrd: 25      Para: 0  
UD: 1600    Gen: 129.4400   Fit: 0.2449946  Orgs: 25      Merit: 96.04000   Thrd: 25      Para: 0  
UD: 1700    Gen: 137.6000   Fit: 0.2438549  Orgs: 25      Merit: 92.96000   Thrd: 25      Para: 0  
UD: 1800    Gen: 146.0000   Fit: 0.2541830  Orgs: 25      Merit: 97.88000   Thrd: 25      Para: 0  
UD: 1900    Gen: 153.2800   Fit: 0.2482437  Orgs: 25      Merit: 106.3200   Thrd: 25      Para: 0  
UD: 2000    Gen: 159.7600   Fit: 0.2594825  Orgs: 25      Merit: 116.2800   Thrd: 25      Para: 0  
UD: 2100    Gen: 166.6800   Fit: 0.2583205  Orgs: 25      Merit: 116.8400   Thrd: 25      Para: 0  
UD: 2200    Gen: 173.4000   Fit: 0.2575115  Orgs: 25      Merit: 118.1200   Thrd: 25      Para: 0  
UD: 2300    Gen: 179.6800   Fit: 0.2492069  Orgs: 25      Merit: 116.3200   Thrd: 25      Para: 0  
UD: 2400    Gen: 187.1600   Fit: 0.2537267  Orgs: 25      Merit: 100.2800   Thrd: 25      Para: 0  
