{'NOT': 4, 'NAND': 4, 'AND': 3, 'ORN': 3, 'OR': 1, 'ANDN': 1, 'NOR': 2, 'XOR': 2, 'EQU': 5}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 83139876
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 6.945946   Fit: 0.2471100  Orgs: 74      Spec: 27.01   SWst: 0.000 %  
UD: 200     Gen: 14.75971   Fit: 0.2409577  Orgs: 412     Spec: 27.40   SWst: 1.117 %  
UD: 300     Gen: 22.68876   Fit: 0.2437364  Orgs: 1041    Spec: 26.36   SWst: 1.428 %  
UD: 400     Gen: 39.89408   Fit: 2.263021   Orgs: 1992    Spec: 25.28   SWst: 1.454 %  
UD: 500     Gen: 101.2660   Fit: 12979.25   Orgs: 3139    Spec: 18.93   SWst: 2.146 %  
UD: 600     Gen: 175.8667   Fit: 372768.5   Orgs: 4037    Spec: 17.35   SWst: 2.091 %  
UD: 700     Gen: 246.4081   Fit: 1017921.   Orgs: 5721    Spec: 16.51   SWst: 2.034 %  
UD: 800     Gen: 297.6644   Fit: 2.955038e+27  Orgs: 7593    Spec: 16.10   SWst: 0.000 %  
UD: 900     Gen: 327.3342   Fit: 7.729581e+09  Orgs: 7954    Spec: 12.91   SWst: 1.653 %  
UD: 1000    Gen: 391.0429   Fit: 1.054859e+137  Orgs: 8548    Spec: 3.963   SWst: 0.000 %  
UD: 1100    Gen: 396.9015   Fit: 7.033216e+136  Orgs: 8547    Spec: 3.841   SWst: 0.000 %  
UD: 1200    Gen: 399.9138   Fit: 7.033216e+136  Orgs: 8547    Spec: 3.839   SWst: 0.000 %  
UD: 1300    Gen: 407.5194   Fit: 1.054859e+137  Orgs: 8548    Spec: 3.821   SWst: 0.000 %  
UD: 1400    Gen: 405.9381   Fit: 7.033216e+136  Orgs: 8547    Spec: 3.783   SWst: 0.000 %  
UD: 1500    Gen: 408.9504   Fit: 7.033216e+136  Orgs: 8547    Spec: 3.814   SWst: 0.000 %  
UD: 1600    Gen: 421.0731   Fit: 1.054859e+137  Orgs: 8548    Spec: 3.789   SWst: 0.000 %  
UD: 1700    Gen: 414.9752   Fit: 7.033216e+136  Orgs: 8547    Spec: 3.746   SWst: 0.000 %  
UD: 1800    Gen: 430.1089   Fit: 1.054859e+137  Orgs: 8548    Spec: 3.842   SWst: 0.000 %  
UD: 1900    Gen: 434.6265   Fit: 1.054859e+137  Orgs: 8548    Spec: 3.783   SWst: 0.000 %  
UD: 2000    Gen: 424.0116   Fit: 7.033216e+136  Orgs: 8547    Spec: 3.832   SWst: 0.000 %  
UD: 2100    Gen: 427.0239   Fit: 7.033216e+136  Orgs: 8547    Spec: 3.769   SWst: 0.000 %  
UD: 2200    Gen: 430.0362   Fit: 7.033216e+136  Orgs: 8547    Spec: 3.776   SWst: 0.000 %  
UD: 2300    Gen: 452.6977   Fit: 1.054859e+137  Orgs: 8548    Spec: 3.787   SWst: 0.000 %  
UD: 2400    Gen: 457.2156   Fit: 1.054859e+137  Orgs: 8548    Spec: 3.808   SWst: 0.000 %  
