{'NOT': 4, 'NAND': 4, 'AND': 1, 'ORN': 1, 'OR': 2, 'ANDN': 2, 'NOR': 3, 'XOR': 3, 'EQU': 5}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 72183685
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 6.846154   Fit: 0.2487082  Orgs: 65      Spec: 28.64   SWst: 1.026 %  
UD: 200     Gen: 14.78750   Fit: 0.2444676  Orgs: 400     Spec: 28.64   SWst: 0.2333%  
UD: 300     Gen: 22.54006   Fit: 0.2432582  Orgs: 1011    Spec: 27.30   SWst: 0.9726%  
UD: 400     Gen: 30.53586   Fit: 0.2456029  Orgs: 1980    Spec: 27.35   SWst: 1.495 %  
UD: 500     Gen: 44.03035   Fit: 0.8297733  Orgs: 3328    Spec: 23.88   SWst: 1.943 %  
UD: 600     Gen: 70.58320   Fit: 2.018479   Orgs: 5168    Spec: 23.04   SWst: 1.873 %  
UD: 700     Gen: 101.6466   Fit: 21.07599   Orgs: 6185    Spec: 18.78   SWst: 1.721 %  
UD: 800     Gen: 147.0700   Fit: 167.4484   Orgs: 6674    Spec: 16.08   SWst: 1.701 %  
UD: 900     Gen: 204.6410   Fit: 749.2870   Orgs: 6783    Spec: 14.97   SWst: 1.883 %  
UD: 1000    Gen: 272.7984   Fit: 1227.204   Orgs: 7087    Spec: 15.31   SWst: 2.020 %  
UD: 1100    Gen: 340.3383   Fit: 1669.362   Orgs: 7534    Spec: 14.68   SWst: 1.902 %  
UD: 1200    Gen: 397.9503   Fit: 1985.124   Orgs: 8454    Spec: 14.47   SWst: 1.832 %  
UD: 1300    Gen: 448.0337   Fit: 2334.722   Orgs: 9958    Spec: 14.88   SWst: 1.615 %  
UD: 1400    Gen: 488.7277   Fit: 2530.119   Orgs: 11658   Spec: 14.48   SWst: 1.760 %  
UD: 1500    Gen: 522.1472   Fit: 2616.310   Orgs: 13234   Spec: 14.72   SWst: 1.428 %  
UD: 1600    Gen: 544.3361   Fit: 2774.325   Orgs: 14089   Spec: 14.58   SWst: 1.779 %  
UD: 1700    Gen: 563.5756   Fit: 2877.130   Orgs: 14367   Spec: 14.31   SWst: 1.770 %  
UD: 1800    Gen: 578.4764   Fit: 2929.747   Orgs: 14382   Spec: 14.75   SWst: 1.667 %  
UD: 1900    Gen: 592.5265   Fit: 2912.768   Orgs: 14379   Spec: 14.39   SWst: 1.730 %  
UD: 2000    Gen: 605.5746   Fit: 2962.682   Orgs: 14378   Spec: 14.54   SWst: 1.684 %  
UD: 2100    Gen: 618.2204   Fit: 2995.010   Orgs: 14376   Spec: 14.19   SWst: 1.863 %  
UD: 2200    Gen: 630.6172   Fit: 3240.816   Orgs: 14384   Spec: 14.47   SWst: 1.666 %  
UD: 2300    Gen: 669.1643   Fit: 7.410244e+70  Orgs: 14361   Spec: 4.360   SWst: 0.1908%  
UD: 2400    Gen: 725.6227   Fit: 4.932245e+113  Orgs: 14344   Spec: 4.094   SWst: 0.09621%  
UD: 2500    Gen: 780.7250   Fit: 1.328781e+128  Orgs: 14340   Spec: 4.827   SWst: 0.1213%  
UD: 2600    Gen: 835.7526   Fit: 2.254957e+245  Orgs: 14327   Spec: 4.468   SWst: 0.05258%  
UD: 2700    Gen: 883.2067   Fit: 6.565577e+283  Orgs: 14316   Spec: 4.006   SWst: 0.09779%  
