{'NOT': 1, 'NAND': 1, 'AND': 2, 'ORN': 2, 'OR': 3, 'ANDN': 3, 'NOR': 4, 'XOR': 4, 'EQU': 2}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 68164323
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 7.578947   Fit: 0.2418609  Orgs: 76      Spec: 27.07   SWst: 2.456 %  
UD: 200     Gen: 15.31628   Fit: 0.2424244  Orgs: 430     Spec: 28.45   SWst: 2.589 %  
UD: 300     Gen: 23.11415   Fit: 0.2419862  Orgs: 1060    Spec: 27.93   SWst: 2.638 %  
UD: 400     Gen: 31.01739   Fit: 0.2442865  Orgs: 2013    Spec: 26.20   SWst: 2.128 %  
UD: 500     Gen: 38.92388   Fit: 0.2460494  Orgs: 3258    Spec: 26.22   SWst: 1.869 %  
UD: 600     Gen: 46.84395   Fit: 0.2472481  Orgs: 4819    Spec: 26.65   SWst: 1.896 %  
UD: 700     Gen: 54.77965   Fit: 0.2482753  Orgs: 6762    Spec: 25.75   SWst: 1.836 %  
UD: 800     Gen: 62.88735   Fit: 0.2502158  Orgs: 9028    Spec: 25.85   SWst: 2.068 %  
UD: 900     Gen: 71.01773   Fit: 0.2518776  Orgs: 11563   Spec: 25.24   SWst: 2.007 %  
UD: 1000    Gen: 79.27129   Fit: 0.2552265  Orgs: 13454   Spec: 24.84   SWst: 1.908 %  
UD: 1100    Gen: 87.75487   Fit: 0.2616105  Orgs: 14274   Spec: 24.93   SWst: 2.009 %  
UD: 1200    Gen: 97.00083   Fit: 0.2775057  Orgs: 14390   Spec: 23.89   SWst: 2.253 %  
UD: 1300    Gen: 108.8555   Fit: 0.3223515  Orgs: 14386   Spec: 23.50   SWst: 2.068 %  
UD: 1400    Gen: 125.4928   Fit: 0.4635261  Orgs: 14388   Spec: 21.28   SWst: 2.125 %  
UD: 1500    Gen: 155.9308   Fit: 1.407162   Orgs: 14383   Spec: 20.03   SWst: 1.992 %  
UD: 1600    Gen: 205.2889   Fit: 28.47154   Orgs: 14380   Spec: 15.45   SWst: 1.669 %  
UD: 1700    Gen: 275.4741   Fit: 62.62892   Orgs: 14378   Spec: 15.01   SWst: 1.726 %  
UD: 1800    Gen: 344.1559   Fit: 95.99574   Orgs: 14378   Spec: 14.73   SWst: 1.625 %  
UD: 1900    Gen: 407.8133   Fit: 132.1137   Orgs: 14374   Spec: 13.88   SWst: 1.679 %  
UD: 2000    Gen: 467.9700   Fit: 259.3542   Orgs: 14372   Spec: 13.39   SWst: 1.660 %  
UD: 2100    Gen: 525.7422   Fit: 426.9173   Orgs: 14369   Spec: 12.68   SWst: 1.689 %  
UD: 2200    Gen: 584.6424   Fit: 624.4624   Orgs: 14375   Spec: 12.20   SWst: 1.706 %  
UD: 2300    Gen: 638.0334   Fit: 835.4098   Orgs: 14369   Spec: 12.21   SWst: 1.646 %  
UD: 2400    Gen: 698.7523   Fit: 1065.457   Orgs: 14379   Spec: 12.38   SWst: 1.744 %  
UD: 2500    Gen: 765.1829   Fit: 1243.959   Orgs: 14372   Spec: 12.44   SWst: 1.580 %  
UD: 2600    Gen: 831.9392   Fit: 1490.918   Orgs: 14381   Spec: 12.13   SWst: 1.735 %  
UD: 2700    Gen: 891.6803   Fit: 1674.082   Orgs: 14376   Spec: 12.57   SWst: 1.546 %  
UD: 2800    Gen: 946.5007   Fit: 1816.244   Orgs: 14372   Spec: 12.28   SWst: 1.650 %  
UD: 2900    Gen: 995.3517   Fit: 1959.655   Orgs: 14364   Spec: 12.77   SWst: 1.464 %  
UD: 3000    Gen: 1039.096   Fit: 2127.058   Orgs: 14361   Spec: 12.76   SWst: 1.594 %  
UD: 3100    Gen: 1075.602   Fit: 2209.759   Orgs: 14366   Spec: 12.77   SWst: 1.587 %  
UD: 3200    Gen: 1106.967   Fit: 2282.258   Orgs: 14368   Spec: 12.73   SWst: 1.505 %  
UD: 3300    Gen: 1138.592   Fit: 2388.526   Orgs: 14370   Spec: 12.24   SWst: 1.575 %  
UD: 3400    Gen: 1164.031   Fit: 2448.817   Orgs: 14366   Spec: 12.15   SWst: 1.668 %  
UD: 3500    Gen: 1183.337   Fit: 2495.416   Orgs: 14380   Spec: 12.36   SWst: 1.697 %  
UD: 3600    Gen: 1202.282   Fit: 2545.409   Orgs: 14370   Spec: 12.16   SWst: 1.797 %  
UD: 3700    Gen: 1220.046   Fit: 2563.194   Orgs: 14383   Spec: 12.23   SWst: 1.676 %  
UD: 3800    Gen: 1237.049   Fit: 2592.601   Orgs: 14369   Spec: 12.01   SWst: 1.713 %  
UD: 3900    Gen: 1253.276   Fit: 2634.408   Orgs: 14381   Spec: 12.56   SWst: 1.452 %  
UD: 4000    Gen: 1268.735   Fit: 2643.173   Orgs: 14380   Spec: 12.21   SWst: 1.557 %  
UD: 4100    Gen: 1284.270   Fit: 2659.962   Orgs: 14364   Spec: 12.44   SWst: 1.527 %  
UD: 4200    Gen: 1299.193   Fit: 2698.844   Orgs: 14369   Spec: 12.23   SWst: 1.797 %  
UD: 4300    Gen: 1315.241   Fit: 2710.243   Orgs: 14371   Spec: 12.28   SWst: 1.491 %  
UD: 4400    Gen: 1329.935   Fit: 2721.512   Orgs: 14370   Spec: 12.52   SWst: 1.660 %  
