{'NOT': 1, 'NAND': 1, 'AND': 4, 'ORN': 4, 'OR': 2, 'ANDN': 2, 'NOR': 3, 'XOR': 3, 'EQU': 5}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 65819879
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 7.000000   Fit: 0.2431852  Orgs: 58      Spec: 27.43   SWst: 1.839 %  
UD: 200     Gen: 14.75362   Fit: 0.2432274  Orgs: 345     Spec: 27.95   SWst: 1.536 %  
UD: 300     Gen: 22.48794   Fit: 0.2440045  Orgs: 912     Spec: 27.20   SWst: 1.396 %  
UD: 400     Gen: 29.99885   Fit: 0.2442728  Orgs: 1739    Spec: 27.64   SWst: 2.294 %  
UD: 500     Gen: 37.37914   Fit: 0.2467976  Orgs: 2838    Spec: 27.33   SWst: 1.480 %  
UD: 600     Gen: 44.71134   Fit: 0.2469533  Orgs: 4119    Spec: 26.23   SWst: 1.894 %  
UD: 700     Gen: 52.09121   Fit: 0.2476077  Orgs: 5734    Spec: 26.46   SWst: 1.578 %  
UD: 800     Gen: 59.61484   Fit: 0.2488875  Orgs: 7641    Spec: 25.28   SWst: 2.001 %  
UD: 900     Gen: 67.13514   Fit: 0.2511905  Orgs: 9775    Spec: 25.94   SWst: 1.910 %  
UD: 1000    Gen: 74.99599   Fit: 0.2536141  Orgs: 12227   Spec: 25.24   SWst: 1.972 %  
UD: 1100    Gen: 82.98603   Fit: 0.2574940  Orgs: 13670   Spec: 25.03   SWst: 1.926 %  
UD: 1200    Gen: 91.94953   Fit: 0.3671762  Orgs: 14266   Spec: 23.06   SWst: 2.011 %  
UD: 1300    Gen: 120.1620   Fit: 2.520496   Orgs: 14350   Spec: 19.77   SWst: 1.677 %  
UD: 1400    Gen: 155.6098   Fit: 4.635751   Orgs: 14367   Spec: 17.65   SWst: 1.840 %  
