{'NOT': 1, 'NAND': 1, 'AND': 2, 'ORN': 2, 'OR': 3, 'ANDN': 3, 'NOR': 4, 'XOR': 4, 'EQU': 4}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 60925256
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 6.942308   Fit: 0.2402305  Orgs: 52      Spec: 28.73   SWst: 1.090 %  
UD: 200     Gen: 14.84309   Fit: 0.2455068  Orgs: 376     Spec: 30.28   SWst: 0.3369%  
UD: 300     Gen: 22.61968   Fit: 0.2457941  Orgs: 986     Spec: 27.63   SWst: 2.096 %  
UD: 400     Gen: 30.32296   Fit: 0.2451532  Orgs: 1895    Spec: 25.82   SWst: 2.923 %  
UD: 500     Gen: 37.88448   Fit: 0.2459451  Orgs: 3073    Spec: 26.59   SWst: 1.842 %  
UD: 600     Gen: 45.64570   Fit: 0.2479259  Orgs: 4530    Spec: 27.22   SWst: 1.514 %  
UD: 700     Gen: 53.48735   Fit: 0.2484203  Orgs: 6365    Spec: 26.21   SWst: 1.792 %  
UD: 800     Gen: 61.42295   Fit: 0.2500122  Orgs: 8514    Spec: 26.17   SWst: 1.665 %  
UD: 900     Gen: 69.47705   Fit: 0.2543370  Orgs: 11026   Spec: 25.68   SWst: 1.877 %  
UD: 1000    Gen: 77.86049   Fit: 0.2605229  Orgs: 13254   Spec: 24.85   SWst: 1.930 %  
UD: 1100    Gen: 86.65428   Fit: 0.2702481  Orgs: 14156   Spec: 24.81   SWst: 2.244 %  
UD: 1200    Gen: 97.51088   Fit: 0.3170709  Orgs: 14389   Spec: 23.25   SWst: 2.003 %  
UD: 1300    Gen: 156.4142   Fit: 63.56501   Orgs: 14387   Spec: 14.63   SWst: 1.720 %  
UD: 1400    Gen: 226.9638   Fit: 129.6250   Orgs: 14384   Spec: 15.30   SWst: 1.609 %  
UD: 1500    Gen: 291.1417   Fit: 180.7637   Orgs: 14380   Spec: 14.94   SWst: 1.665 %  
