{'NOT': 1, 'NAND': 1, 'AND': 2, 'ORN': 2, 'OR': 3, 'ANDN': 3, 'NOR': 4, 'XOR': 4, 'EQU': 6}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 67692173
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 7.000000   Fit: 0.2438902  Orgs: 55      Spec: 26.73   SWst: 0.5455%  
UD: 200     Gen: 14.77465   Fit: 0.2449515  Orgs: 355     Spec: 29.12   SWst: 0.5164%  
UD: 300     Gen: 22.62141   Fit: 0.2441500  Orgs: 1009    Spec: 27.38   SWst: 1.691 %  
UD: 400     Gen: 29.81046   Fit: 0.2438523  Orgs: 1836    Spec: 27.74   SWst: 1.785 %  
UD: 500     Gen: 37.07112   Fit: 0.2448732  Orgs: 2967    Spec: 26.38   SWst: 1.835 %  
UD: 600     Gen: 44.21181   Fit: 0.2458030  Orgs: 4268    Spec: 27.31   SWst: 1.778 %  
UD: 700     Gen: 51.13188   Fit: 0.2456776  Orgs: 5740    Spec: 25.94   SWst: 1.611 %  
UD: 800     Gen: 58.01767   Fit: 0.2467270  Orgs: 7528    Spec: 25.95   SWst: 1.814 %  
UD: 900     Gen: 64.95477   Fit: 0.2486363  Orgs: 9529    Spec: 25.72   SWst: 1.610 %  
UD: 1000    Gen: 71.91103   Fit: 0.2488699  Orgs: 11745   Spec: 25.39   SWst: 1.618 %  
UD: 1100    Gen: 78.93594   Fit: 0.2495580  Orgs: 13346   Spec: 25.15   SWst: 1.975 %  
UD: 1200    Gen: 85.97194   Fit: 0.2506138  Orgs: 14150   Spec: 25.28   SWst: 1.827 %  
UD: 1300    Gen: 93.11428   Fit: 0.2518792  Orgs: 14386   Spec: 24.95   SWst: 1.841 %  
UD: 1400    Gen: 100.3000   Fit: 0.2535161  Orgs: 14385   Spec: 25.03   SWst: 1.900 %  
UD: 1500    Gen: 107.7044   Fit: 0.2567859  Orgs: 14390   Spec: 24.54   SWst: 1.742 %  
UD: 1600    Gen: 116.6463   Fit: 0.3043844  Orgs: 14389   Spec: 23.19   SWst: 1.842 %  
UD: 1700    Gen: 174.6014   Fit: 696.5632   Orgs: 14382   Spec: 15.06   SWst: 1.644 %  
UD: 1800    Gen: 176.9189   Fit: 5.171831e+73  Orgs: 14375   Spec: 6.012   SWst: 0.08348%  
UD: 1900    Gen: 182.9130   Fit: 1.874237e+147  Orgs: 14368   Spec: 5.503   SWst: 0.05220%  
