{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 10, 'y': 10}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 66735718

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       
UD: 100     Gen: 6.955224   Fit: 0.2426486  Orgs: 67      
UD: 200     Gen: 15.01000   Fit: 0.2414777  Orgs: 100     
UD: 300     Gen: 22.91000   Fit: 0.2467173  Orgs: 100     
UD: 400     Gen: 30.92000   Fit: 0.2465040  Orgs: 100     
UD: 500     Gen: 38.65000   Fit: 0.2459342  Orgs: 100     
UD: 600     Gen: 46.81000   Fit: 0.2508078  Orgs: 100     
UD: 700     Gen: 54.59000   Fit: 0.2485010  Orgs: 100     
UD: 800     Gen: 62.65000   Fit: 0.2495636  Orgs: 100     
UD: 900     Gen: 70.30000   Fit: 0.2492640  Orgs: 100     
UD: 1000    Gen: 78.60000   Fit: 0.2499106  Orgs: 100     
UD: 1100    Gen: 87.19000   Fit: 0.2514775  Orgs: 100     
UD: 1200    Gen: 95.62000   Fit: 0.2517404  Orgs: 100     
UD: 1300    Gen: 103.6869   Fit: 0.2522978  Orgs: 99      
UD: 1400    Gen: 111.5200   Fit: 0.2464153  Orgs: 100     
UD: 1500    Gen: 119.6400   Fit: 0.2502864  Orgs: 100     
UD: 1600    Gen: 127.9500   Fit: 0.2767490  Orgs: 100     
UD: 1700    Gen: 138.3900   Fit: 0.3273525  Orgs: 100     
UD: 1800    Gen: 153.5500   Fit: 0.4022819  Orgs: 100     
UD: 1900    Gen: 166.8500   Fit: 0.3863989  Orgs: 100     
UD: 2000    Gen: 177.0300   Fit: 0.3960708  Orgs: 100     
UD: 2100    Gen: 186.2800   Fit: 0.3919426  Orgs: 100     
UD: 2200    Gen: 193.5800   Fit: 0.3899826  Orgs: 100     
UD: 2300    Gen: 204.5500   Fit: 0.4284624  Orgs: 100     
UD: 2400    Gen: 215.2600   Fit: 0.4471822  Orgs: 100     
UD: 2500    Gen: 225.7300   Fit: 0.4902599  Orgs: 100     
UD: 2600    Gen: 235.4400   Fit: 0.4583693  Orgs: 100     
UD: 2700    Gen: 245.1700   Fit: 0.4454624  Orgs: 100     
UD: 2800    Gen: 254.8000   Fit: 0.4564665  Orgs: 100     
UD: 2900    Gen: 265.2500   Fit: 0.4704128  Orgs: 100     
UD: 3000    Gen: 274.9100   Fit: 0.4730559  Orgs: 100     
UD: 3100    Gen: 284.0101   Fit: 0.4352072  Orgs: 99      
UD: 3200    Gen: 294.1616   Fit: 0.4553474  Orgs: 99      
UD: 3300    Gen: 304.8300   Fit: 0.4251971  Orgs: 100     
UD: 3400    Gen: 315.0300   Fit: 0.5159885  Orgs: 100     
UD: 3500    Gen: 327.5200   Fit: 0.6649670  Orgs: 100     
UD: 3600    Gen: 342.8500   Fit: 0.8263241  Orgs: 100     
UD: 3700    Gen: 357.0909   Fit: 1.369034   Orgs: 99      
UD: 3800    Gen: 372.4646   Fit: 1.664392   Orgs: 99      
