{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 5, 'y': 5}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 65353096

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       
UD: 100     Gen: 6.875000   Fit: 0.2489314  Orgs: 64      
UD: 200     Gen: 14.85000   Fit: 0.2442261  Orgs: 100     
UD: 300     Gen: 23.16000   Fit: 0.2405594  Orgs: 100     
UD: 400     Gen: 31.09000   Fit: 0.2444936  Orgs: 100     
UD: 500     Gen: 38.89000   Fit: 0.2419675  Orgs: 100     
UD: 600     Gen: 47.54000   Fit: 0.2395972  Orgs: 100     
UD: 700     Gen: 55.31000   Fit: 0.2453058  Orgs: 100     
UD: 800     Gen: 63.39000   Fit: 0.2481436  Orgs: 100     
UD: 900     Gen: 71.91000   Fit: 0.2516793  Orgs: 100     
UD: 1000    Gen: 80.86000   Fit: 0.2532103  Orgs: 100     
UD: 1100    Gen: 88.88889   Fit: 0.2538202  Orgs: 99      
UD: 1200    Gen: 97.09000   Fit: 0.2505081  Orgs: 100     
UD: 1300    Gen: 105.6900   Fit: 0.2552876  Orgs: 100     
UD: 1400    Gen: 114.3000   Fit: 0.2554451  Orgs: 100     
UD: 1500    Gen: 122.4200   Fit: 0.2551075  Orgs: 100     
UD: 1600    Gen: 131.1100   Fit: 0.2525544  Orgs: 100     
UD: 1700    Gen: 139.4500   Fit: 0.2580425  Orgs: 100     
UD: 1800    Gen: 147.6970   Fit: 0.2587852  Orgs: 99      
UD: 1900    Gen: 156.5300   Fit: 0.2589762  Orgs: 100     
UD: 2000    Gen: 164.9400   Fit: 0.2550630  Orgs: 100     
UD: 2100    Gen: 173.7500   Fit: 0.2580307  Orgs: 100     
UD: 2200    Gen: 182.3900   Fit: 0.2577955  Orgs: 100     
UD: 2300    Gen: 191.0808   Fit: 0.2572630  Orgs: 99      
UD: 2400    Gen: 199.5700   Fit: 0.2620007  Orgs: 100     
UD: 2500    Gen: 208.4100   Fit: 0.2525562  Orgs: 100     
UD: 2600    Gen: 217.0909   Fit: 0.2536435  Orgs: 99      
UD: 2700    Gen: 225.9400   Fit: 0.2613502  Orgs: 100     
UD: 2800    Gen: 234.5200   Fit: 0.2640920  Orgs: 100     
UD: 2900    Gen: 243.0000   Fit: 0.2597989  Orgs: 100     
UD: 3000    Gen: 250.9800   Fit: 0.2598922  Orgs: 100     
UD: 3100    Gen: 259.8300   Fit: 0.2549122  Orgs: 100     
UD: 3200    Gen: 268.7500   Fit: 0.2590390  Orgs: 100     
UD: 3300    Gen: 277.5200   Fit: 0.2540924  Orgs: 100     
UD: 3400    Gen: 285.7374   Fit: 0.2491724  Orgs: 99      
UD: 3500    Gen: 294.6500   Fit: 0.2566332  Orgs: 100     
UD: 3600    Gen: 303.3600   Fit: 0.2526205  Orgs: 100     
UD: 3700    Gen: 310.9800   Fit: 0.2461370  Orgs: 100     
UD: 3800    Gen: 321.0300   Fit: 0.2562804  Orgs: 100     
UD: 3900    Gen: 329.3100   Fit: 0.2551198  Orgs: 100     
UD: 4000    Gen: 338.6900   Fit: 0.2516412  Orgs: 100     
UD: 4100    Gen: 347.7500   Fit: 0.2571008  Orgs: 100     
