{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 10, 'y': 10}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 65481925
Data Directory: /Users/albertzhang/GitHub/avida/cbuild/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Merit: 97.00000   Thrd: 1       Para: 0  
UD: 100     Gen: 6.903226   Fit: 0.2486372  Orgs: 62      Merit: 95.93548   Thrd: 62      Para: 0  
UD: 200     Gen: 14.92000   Fit: 0.2487040  Orgs: 100     Merit: 95.52000   Thrd: 100     Para: 0  
UD: 300     Gen: 22.78000   Fit: 0.2416813  Orgs: 100     Merit: 92.48000   Thrd: 100     Para: 0  
UD: 400     Gen: 30.94000   Fit: 0.2442673  Orgs: 100     Merit: 94.42000   Thrd: 100     Para: 0  
UD: 500     Gen: 38.74000   Fit: 0.2456751  Orgs: 100     Merit: 93.18000   Thrd: 100     Para: 0  
UD: 600     Gen: 46.81000   Fit: 0.2460611  Orgs: 100     Merit: 94.09000   Thrd: 100     Para: 0  
UD: 700     Gen: 54.94000   Fit: 0.2520146  Orgs: 100     Merit: 101.6700   Thrd: 100     Para: 0  
UD: 800     Gen: 62.88889   Fit: 0.2538943  Orgs: 99      Merit: 99.33333   Thrd: 99      Para: 0  
UD: 900     Gen: 70.18182   Fit: 0.2528632  Orgs: 99      Merit: 101.8586   Thrd: 99      Para: 0  
UD: 1000    Gen: 77.12000   Fit: 0.2476531  Orgs: 100     Merit: 107.8700   Thrd: 100     Para: 0  
UD: 1100    Gen: 84.26000   Fit: 0.2488350  Orgs: 100     Merit: 106.2000   Thrd: 100     Para: 0  
UD: 1200    Gen: 91.56000   Fit: 0.2531496  Orgs: 100     Merit: 100.6500   Thrd: 100     Para: 0  
UD: 1300    Gen: 99.49000   Fit: 0.2604723  Orgs: 100     Merit: 102.2000   Thrd: 100     Para: 0  
UD: 1400    Gen: 107.6566   Fit: 0.2552451  Orgs: 99      Merit: 98.67677   Thrd: 99      Para: 0  
UD: 1500    Gen: 115.0800   Fit: 0.2482245  Orgs: 100     Merit: 98.59000   Thrd: 100     Para: 0  
UD: 1600    Gen: 123.2800   Fit: 0.2491926  Orgs: 100     Merit: 101.2700   Thrd: 100     Para: 0  
UD: 1700    Gen: 130.8500   Fit: 0.2501273  Orgs: 100     Merit: 100.9900   Thrd: 100     Para: 0  
UD: 1800    Gen: 138.1515   Fit: 0.2525275  Orgs: 99      Merit: 100.0606   Thrd: 99      Para: 0  
