{'NOT': 2.0, 'NAND': 2.0, 'AND': 3.0, 'ORN': 3.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 59993665
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 6.912281   Fit: 0.2431970  Orgs: 57      Spec: 25.59   SWst: 1.462 %  
UD: 200     Gen: 14.85519   Fit: 0.2419566  Orgs: 366     Spec: 25.09   SWst: 1.330 %  
UD: 300     Gen: 22.82062   Fit: 0.2468914  Orgs: 970     Spec: 28.78   SWst: 1.605 %  
UD: 400     Gen: 30.63607   Fit: 0.2457857  Orgs: 1874    Spec: 27.19   SWst: 1.823 %  
UD: 500     Gen: 38.53692   Fit: 0.2482304  Orgs: 3088    Spec: 26.80   SWst: 1.513 %  
UD: 600     Gen: 46.71050   Fit: 0.2652321  Orgs: 4532    Spec: 26.46   SWst: 2.043 %  
UD: 700     Gen: 56.81055   Fit: 0.3185752  Orgs: 6160    Spec: 24.77   SWst: 2.327 %  
UD: 800     Gen: 73.92034   Fit: 0.8799903  Orgs: 7808    Spec: 22.17   SWst: 2.056 %  
UD: 900     Gen: 138.4010   Fit: 65.67299   Orgs: 7992    Spec: 15.92   SWst: 1.722 %  
UD: 1000    Gen: 204.4345   Fit: 142.6058   Orgs: 8004    Spec: 15.49   SWst: 1.709 %  
UD: 1100    Gen: 270.5889   Fit: 205.6199   Orgs: 8003    Spec: 15.17   SWst: 1.492 %  
UD: 1200    Gen: 328.4477   Fit: 427.3668   Orgs: 8019    Spec: 15.04   SWst: 1.660 %  
UD: 1300    Gen: 406.8136   Fit: 958.4354   Orgs: 8939    Spec: 14.64   SWst: 1.614 %  
UD: 1400    Gen: 476.7706   Fit: 1436.964   Orgs: 11255   Spec: 14.64   SWst: 1.513 %  
UD: 1500    Gen: 532.1823   Fit: 2435.065   Orgs: 12935   Spec: 14.69   SWst: 1.445 %  
UD: 1600    Gen: 582.6766   Fit: 4773.447   Orgs: 13697   Spec: 14.73   SWst: 1.471 %  
UD: 1700    Gen: 634.6628   Fit: 7121.860   Orgs: 13990   Spec: 14.26   SWst: 1.495 %  
UD: 1800    Gen: 691.2717   Fit: 9490.842   Orgs: 14112   Spec: 14.20   SWst: 1.567 %  
UD: 1900    Gen: 748.3254   Fit: 11605.17   Orgs: 14209   Spec: 14.60   SWst: 1.455 %  
UD: 2000    Gen: 803.2191   Fit: 13296.02   Orgs: 14275   Spec: 14.03   SWst: 1.480 %  
UD: 2100    Gen: 855.4369   Fit: 15211.05   Orgs: 14316   Spec: 14.10   SWst: 1.358 %  
UD: 2200    Gen: 905.7475   Fit: 16656.04   Orgs: 14344   Spec: 14.08   SWst: 1.592 %  
UD: 2300    Gen: 948.0515   Fit: 18091.51   Orgs: 14354   Spec: 13.50   SWst: 1.475 %  
